Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Goßfelden - Sarnau;Siedlung;Marburg-Biedenkopf;3.040
Gottsbüren;Siedlung;Kassel;770
Gräfenhausen;Siedlung;Darmstadt-Dieburg;5.320
Grasellenbach;Siedlung;Bergstraße;890
Gravenbruch;Siedlung;Offenbach;5.360
Gräveneck;Siedlung;Limburg-Weilburg;760
Grävenwiesbach;Siedlung;Hochtaunuskreis;2.480
Grebenau;Siedlung;Vogelsbergkreis;1.100
Grebendorf;Siedlung;Werra-Meißner-Kreis;1.560
Grebenhain;Siedlung;Vogelsbergkreis;760
Grebenstein;Siedlung;Kassel;3.780
Greifenstein;Siedlung;Lahn-Dill-Kreis;550
Griedel;Siedlung;Wetteraukreis;1.540
Griedelbach;Siedlung;Lahn-Dill-Kreis;690
Griesheim;Siedlung;Darmstadt-Dieburg;25.300
Grifte;Siedlung;Schwalm-Eder-Kreis;1.820
Gronau;Siedlung;Bergstraße;1.200
Gronau;Siedlung;Wetteraukreis;2.420
Großalmerode;Siedlung;Werra-Meißner-Kreis;3.280
Großaltenstädten;Siedlung;Lahn-Dill-Kreis;600
Groß-Bieberau;Siedlung;Darmstadt-Dieburg;4.010
Groß-Eichen;Siedlung;Vogelsbergkreis;890
Großenbach;Siedlung;Fulda;870
Großen-Buseck;Siedlung;Gießen;5.330
Großenenglis;Siedlung;Schwalm-Eder-Kreis;1.000
Großenhausen;Siedlung;Main-Kinzig-Kreis;1.390
Großenlüder;Siedlung;Fulda;3.580
Großentaft;Siedlung;Fulda;970
Groß-Felda;Siedlung;Vogelsbergkreis;1.080
Groß-Gerau;Siedlung;Groß-Gerau;16.500
Großkrotzenburg;Siedlung;Main-Kinzig-Kreis;7.240
Groß-Rohrheim;Siedlung;Bergstraße;3.700
Großropperhausen;Siedlung;Schwalm-Eder-Kreis;690
Großseelheim;Siedlung;Marburg-Biedenkopf;1.860
Groß-Umstadt;Siedlung;Darmstadt-Dieburg;11.500
Groß-Zimmern;Siedlung;Darmstadt-Dieburg;12.000
Grünberg;Siedlung;Gießen;5.900
Grüningen;Siedlung;Gießen;1.460
Gudensberg;Siedlung;Schwalm-Eder-Kreis;4.680
Gundernhausen;Siedlung;Darmstadt-Dieburg;3.080
Gundhelm;Siedlung;Main-Kinzig-Kreis;570
Günterfürst;Siedlung;Odenwaldkreis;750
Günterod;Siedlung;Marburg-Biedenkopf;1.030
Guntershausen;Siedlung;Kassel;950
Gustavsburg;Siedlung;Groß-Gerau;6.880
Gusternhain;Siedlung;Lahn-Dill-Kreis;780
Guxhagen;Siedlung;Schwalm-Eder-Kreis;3.100
Habitzheim;Siedlung;Darmstadt-Dieburg;1.320
Hachborn;Siedlung;Marburg-Biedenkopf;1.050
Hadamar;Siedlung;Limburg-Weilburg;7.100
Haddamshausen;Siedlung;Marburg-Biedenkopf;500
Hahn;Siedlung;Darmstadt-Dieburg;2.570
Hahn - Bleidenstadt;Siedlung;Rheingau-Taunus-Kreis;14.200
Hähnlein;Siedlung;Darmstadt-Dieburg;3.100
Haiger;Siedlung;Lahn-Dill-Kreis;6.380
Hailer - Meerholz;Siedlung;Main-Kinzig-Kreis;7.740
Haina (Kloster);Siedlung;Waldeck-Frankenberg;940
Hainburg (Hainstadt - Klein-Krotzenburg);Siedlung;Offenbach;13.700
Hainchen;Siedlung;Wetteraukreis;1.200
Haine;Siedlung;Waldeck-Frankenberg;560
Haingrund;Siedlung;Odenwaldkreis;930
Hain-Gründau;Siedlung;Main-Kinzig-Kreis;1.670
Hainstadt;Siedlung;Odenwaldkreis;1.440
Haintchen;Siedlung;Limburg-Weilburg;890
Hainzell;Siedlung;Fulda;1.190
Haldorf;Siedlung;Schwalm-Eder-Kreis;1.330
