Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Rüdersdorf bei Berlin;Gemeinde;Märkisch-Oderland;16.338;16.073;14.922;15.313
Rüdnitz;Gemeinde;Barnim;1.337;1.906;1.948;1.980
Ruhland;Stadt;Oberspreewald-Lausitz;4.037;4.215;3.888;3.665
Rühstädt;Gemeinde;Prignitz;619;601;513;461
Rüthnick;Gemeinde;Ostprignitz-Ruppin;467;507;487;479
Sallgast;Gemeinde;Elbe-Elster;1.795;1.793;1.504;1.458
Schenkenberg;Gemeinde;Uckermark;772;732;612;600
Schenkendöbern;Gemeinde;Spree-Neiße;4.120;4.510;3.885;3.662
Schilda;Gemeinde;Elbe-Elster;667;620;504;484
Schipkau;Gemeinde;Oberspreewald-Lausitz;9.518;8.350;7.153;6.813
Schlaubetal;Gemeinde;Oder-Spree;1.429;2.002;1.883;1.815
Schlepzig;Gemeinde;Dahme-Spreewald;633;672;614;619
Schlieben;Stadt;Elbe-Elster;3.242;3.102;2.637;2.452
Schmogrow-Fehrow;Gemeinde;Spree-Neiße;921;993;856;813
Schönborn;Gemeinde;Elbe-Elster;2.173;2.014;1.636;1.565
Schöneberg;Gemeinde;Uckermark;905;1.001;868;851
Schönefeld;Gemeinde;Dahme-Spreewald;7.619;11.405;13.076;14.190
Schöneiche bei Berlin;Gemeinde;Oder-Spree;9.428;11.397;11.979;12.311
Schönermark;Gemeinde;Oberhavel;459;523;437;446
Schönewalde;Stadt;Elbe-Elster;4.055;3.903;3.293;3.115
Schönfeld;Gemeinde;Uckermark;845;784;601;615
Schönwald;Gemeinde;Dahme-Spreewald;1.662;1.286;1.180;1.129
Schönwalde-Glien;Gemeinde;Havelland;5.463;7.590;8.819;9.351
Schorfheide;Gemeinde;Barnim;9.585;10.456;9.886;9.908
Schraden;Gemeinde;Elbe-Elster;607;632;554;522
Schulzendorf;Gemeinde;Dahme-Spreewald;5.850;7.073;7.590;7.872
Schwarzbach;Gemeinde;Oberspreewald-Lausitz;745;791;703;671
Schwarzheide;Stadt;Oberspreewald-Lausitz;7.881;7.107;5.954;5.795
Schwedt/Oder;Stadt;Uckermark;49.371;40.685;31.785;30.262
Schwerin;Gemeinde;Dahme-Spreewald;709;659;786;814
Schwielochsee;Gemeinde;Dahme-Spreewald;1.549;1.741;1.610;1.499
Schwielowsee;Gemeinde;Potsdam-Mittelmark;6.805;9.142;9.986;10.494
Seddiner See;Gemeinde;Potsdam-Mittelmark;4.268;4.286;3.932;4.349
Seeblick;Gemeinde;Havelland;961;1.000;929;910
Seelow;Stadt;Märkisch-Oderland;5.829;6.054;5.545;5.387
Senftenberg;Stadt;Oberspreewald-Lausitz;34.413;30.539;25.582;24.625
Siehdichum;Gemeinde;Oder-Spree;1.032;1.742;1.573;1.522
Sieversdorf-Hohenofen;Gemeinde;Ostprignitz-Ruppin;933;894;783;706
Sonnenberg;Gemeinde;Oberhavel;989;960;853;823
Sonnewalde;Stadt;Elbe-Elster;4.093;4.010;3.494;3.319
Spreenhagen;Gemeinde;Oder-Spree;3.204;3.512;3.289;3.229
Spreewaldheide;Gemeinde;Dahme-Spreewald;595;615;498;464
Spremberg;Stadt;Spree-Neiße;28.894;27.759;23.615;22.818
Stahnsdorf;Gemeinde;Potsdam-Mittelmark;9.431;11.785;14.031;15.127
Stechlin;Gemeinde;Oberhavel;1.402;1.355;1.206;1.187
Stechow-Ferchesar;Gemeinde;Havelland;789;892;898;895
Steinhöfel;Gemeinde;Oder-Spree;4.700;4.739;4.431;4.474
Steinreich;Gemeinde;Dahme-Spreewald;692;662;550;507
Storbeck-Frankendorf;Gemeinde;Ostprignitz-Ruppin;470;530;481;478
Storkow (Mark);Stadt;Oder-Spree;9.320;9.452;9.016;9.020
Straupitz;Gemeinde;Dahme-Spreewald;1.293;1.163;1.020;976
Strausberg;Stadt;Märkisch-Oderland;27.312;26.512;25.591;26.213
Stüdenitz-Schönermark;Gemeinde;Ostprignitz-Ruppin;809;727;628;578
Sydower Fließ;Gemeinde;Barnim;872;921;853;921
Tantow;Gemeinde;Uckermark;838;802;729;763
Tauche;Gemeinde;Oder-Spree;4.378;4.218;3.936;3.875
Tauer;Gemeinde;Spree-Neiße;758;820;750;709
Teichland;Gemeinde;Spree-Neiße;952;1.310;1.189;1.150
Teltow;Stadt;Potsdam-Mittelmark;15.576;18.445;22.356;25.483
