Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Dörfleins;Siedlung;Bamberg;1.430
Dörfles-Esbach;Siedlung;Coburg;3.680
Dorfprozelten;Siedlung;Miltenberg;1.810
Dormitz;Siedlung;Forchheim;2.030
Dornach;Siedlung;München;1.180
Dörndorf;Siedlung;Eichstätt;540
Dörnsteinbach;Siedlung;Aschaffenburg;620
Dornwang;Siedlung;Dingolfing-Landau;840
Dorschhausen;Siedlung;Unterallgäu;650
Dösingen;Siedlung;Ostallgäu;840
Drachselsried;Siedlung;Regen;820
Draxlschlag;Siedlung;Freyung-Grafenau;710
Drosendorf;Siedlung;Bamberg;1.310
Duggendorf;Siedlung;Regensburg;530
Durach;Siedlung;Oberallgäu;6.040
Dürnbach;Siedlung;Miesbach;1.190
Dürnsricht;Siedlung;Schwandorf;750
Dürrlauingen;Siedlung;Günzburg;710
Dürrnhaar;Siedlung;München;500
Dürrwangen;Siedlung;Ansbach;1.540
Ebelsbach;Siedlung;Haßberge;2.670
Ebenhausen;Siedlung;Bad Kissingen;1.390
Ebenhausen-Werk;Siedlung;Pfaffenhofen a.d. Ilm;720
Ebenhofen;Siedlung;Ostallgäu;1.110
Ebensfeld;Siedlung;Lichtenfels;2.040
Eberfing;Siedlung;Weilheim-Schongau;1.160
Ebermannsdorf;Siedlung;Amberg-Sulzbach;1.820
Ebermannstadt;Siedlung;Forchheim;4.440
Ebermergen;Siedlung;Donau-Ries;940
Ebern;Siedlung;Haßberge;4.150
Ebersbach;Siedlung;Dachau;640
Ebersbach;Siedlung;Ostallgäu;770
Ebersberg;Siedlung;Ebersberg;9.590
Ebersdorf;Siedlung;Kronach;690
Ebersdorf b. Coburg;Siedlung;Coburg;4.850
Eberspoint;Siedlung;Landshut;730
Ebnath;Siedlung;Tirschenreuth;1.110
Ebrach;Siedlung;Bamberg;1.140
Eching;Siedlung;Freising;9.880
Eching am Ammersee;Siedlung;Landsberg am Lech;1.610
Echlishausen;Siedlung;Günzburg;570
Eckental;Siedlung;Erlangen-Höchstadt;8.680
Eckersdorf;Siedlung;Bayreuth;3.940
Eckersmühlen;Siedlung;Roth;2.500
Edelbach;Siedlung;Aschaffenburg;500
Edelsfeld;Siedlung;Amberg-Sulzbach;990
Edelshausen;Siedlung;Neuburg-Schrobenhausen;510
Edelstetten;Siedlung;Günzburg;550
Edenstetten - Egg;Siedlung;Deggendorf;2.540
Ederheim;Siedlung;Donau-Ries;760
Edhof;Siedlung;Rottal-Inn;940
Edling;Siedlung;Rosenheim;2.840
Effeltrich;Siedlung;Forchheim;2.250
Egenburg;Siedlung;Dachau;510
Egenhausen;Siedlung;Schweinfurt;610
